id,lang_code,lang_name,lang_orig,name
9,zh-Hant,Chinese (Traditional),中文（繁體）,
0,en,English,English,en
2,fr,French,Français,
3,it,Italian,Italiano,
4,ja,Japanese,日本語,
5,ko,Korean,한국어,
6,pt,Portuguese,Português,PT
7,ru,Russian,Русский,
1,es,Spanish,Español,
8,tr,Turkish,Türkçe,
